mealPlanner_pre,110.23157906532288
table-wrapper-api_post,139.31762766838074
table-wrapper-api_pre,137.30077600479126
jib_pre,605.6800446510315
nameless_pre,100.14250707626343
table-wrapper-csv-impl_pre,51.11148929595947
jib_post,587.7668025493622
mealPlanner_post,73.52601099014282
nameless_post,99.82562327384949
picasso_post,738.1959276199341
mealPlanner_pre,105.44590139389038
table-wrapper-api_post,132.30352520942688
table-wrapper-api_pre,129.19061660766602
butterknife_pre,150.68740963935852
jib_pre,603.6556136608124
nameless_pre,96.81574273109436
table-wrapper-csv-impl_pre,52.63087582588196
jib_post,569.254763841629
butterknife_post,154.45693278312683
mealPlanner_post,69.49456357955933
picasso_pre,736.3498122692108
nameless_post,103.31484389305115
